usage_id,user_id,ai_tool_name,usage_date,queries_made,avg_response_time,rating,subscription_type
83,563,ChatGPT,05-01-2024,23,2.61,1,Pro
84,565,DeepSeek AI,16-02-2024,36,1.83,2,Free
85,333,Mistral AI,15-01-2024,49,2.05,5,Pro
86,141,Gemini AI,15-02-2024,11,1.82,3,Pro
87,457,Mistral AI,22-01-2024,50,2.71,5,Pro
88,570,Claude AI,30-01-2024,49,3.05,1,Enterprise
89,396,Claude AI,26-01-2024,8,3.48,5,Free
90,551,Gemini AI,09-01-2024,40,2.2,1,Pro
91,270,DeepSeek AI,18-01-2024,17,1.56,2,Pro
92,433,ChatGPT,02-02-2024,18,2.75,2,Pro
93,305,ChatGPT,28-01-2024,25,3.09,3,Pro
94,540,Mistral AI,25-02-2024,25,1.98,5,Enterprise
95,392,Claude AI,16-01-2024,29,1.99,1,Pro
96,123,Claude AI,11-01-2024,29,2.35,5,Free
97,510,Gemini AI,16-02-2024,7,2.22,1,Enterprise
98,598,Gemini AI,02-01-2024,44,2.97,3,Enterprise
99,177,Claude AI,28-01-2024,29,2.16,4,Enterprise
100,197,ChatGPT,10-01-2024,23,1.96,5,Free
101,109,Gemini AI,12-02-2024,23,2.74,5,Pro
102,376,Mistral AI,16-01-2024,43,2.59,5,Free
103,333,ChatGPT,19-01-2024,35,3.14,1,Enterprise
104,312,Mistral AI,22-01-2024,48,1.71,3,Pro
105,446,Mistral AI,28-01-2024,16,2.59,1,Free
106,219,Gemini AI,11-02-2024,25,2.95,5,Free
107,409,ChatGPT,24-02-2024,46,2.41,3,Enterprise
108,198,DeepSeek AI,30-01-2024,42,2.2,2,Enterprise
109,362,ChatGPT,31-01-2024,14,2.57,2,Enterprise
110,490,Gemini AI,05-01-2024,41,2.34,3,Free
111,113,DeepSeek AI,27-02-2024,10,3.29,4,Pro
112,536,ChatGPT,17-02-2024,48,1.92,4,Free
113,551,Mistral AI,01-01-2024,27,2.39,3,Pro
114,241,ChatGPT,02-01-2024,10,3.07,1,Enterprise
115,397,Gemini AI,01-03-2024,21,2.46,4,Enterprise
116,581,Mistral AI,04-02-2024,41,2.6,3,Free
117,408,Mistral AI,29-02-2024,49,3.23,2,Pro
118,111,Mistral AI,16-02-2024,11,2.79,3,Free
119,180,ChatGPT,19-02-2024,21,3.44,2,Free
120,388,ChatGPT,19-01-2024,25,2.39,4,Pro
121,588,DeepSeek AI,21-01-2024,33,2.27,2,Enterprise
122,598,Gemini AI,21-02-2024,34,2.43,3,Pro
123,137,Gemini AI,28-01-2024,23,2.85,1,Enterprise
124,277,Mistral AI,10-02-2024,7,1.5,5,Free
125,416,ChatGPT,03-01-2024,15,2.41,2,Enterprise
126,397,Claude AI,01-01-2024,12,1.77,1,Free
127,389,Claude AI,30-01-2024,35,2.49,5,Free
128,358,Gemini AI,16-01-2024,38,1.67,2,Pro
129,231,Claude AI,28-01-2024,39,2.96,4,Free
130,492,DeepSeek AI,25-02-2024,19,2.02,4,Pro
131,581,DeepSeek AI,16-01-2024,12,3.46,5,Pro
132,528,Claude AI,06-02-2024,30,2.74,2,Enterprise
133,162,Gemini AI,01-03-2024,26,2.32,3,Pro
134,284,ChatGPT,24-02-2024,17,3.28,4,Enterprise
135,385,Gemini AI,03-01-2024,13,2.99,4,Pro
136,561,Mistral AI,06-02-2024,11,2.47,3,Pro
137,419,Gemini AI,06-02-2024,41,1.82,3,Enterprise
138,473,ChatGPT,12-01-2024,46,3.45,5,Enterprise
139,354,Claude AI,29-02-2024,7,2.75,2,Free
140,286,Gemini AI,21-02-2024,12,3.18,4,Pro
141,353,Claude AI,18-02-2024,43,3,4,Enterprise
142,582,Mistral AI,14-02-2024,10,3.5,2,Free
143,404,Mistral AI,11-02-2024,40,3.2,1,Pro
144,274,DeepSeek AI,10-02-2024,31,3.33,4,Pro
145,259,DeepSeek AI,03-02-2024,12,2.78,5,Free
146,122,ChatGPT,01-03-2024,45,2.21,2,Enterprise
147,412,ChatGPT,26-01-2024,13,1.72,3,Enterprise
148,354,DeepSeek AI,25-02-2024,25,2.91,1,Pro
149,489,Mistral AI,30-01-2024,47,3.3,1,Free
150,542,Claude AI,14-02-2024,50,3.41,4,Enterprise
151,145,ChatGPT,20-02-2024,16,1.53,3,Enterprise
152,404,Gemini AI,27-02-2024,50,2.38,4,Free
153,430,Claude AI,14-01-2024,30,3.06,3,Enterprise
154,328,Claude AI,24-01-2024,24,2.82,4,Enterprise
155,429,Claude AI,13-01-2024,16,2.58,4,Enterprise
156,599,Mistral AI,25-01-2024,25,2.57,4,Enterprise
157,390,Mistral AI,18-01-2024,44,2.72,2,Free
158,429,ChatGPT,11-01-2024,9,2.31,1,Enterprise
159,501,Mistral AI,26-01-2024,35,1.58,2,Enterprise
160,485,ChatGPT,09-02-2024,13,3.21,5,Free
161,101,DeepSeek AI,31-01-2024,40,2.55,5,Free
162,148,Claude AI,15-02-2024,49,3.32,3,Free
163,358,DeepSeek AI,26-01-2024,13,1.61,3,Enterprise
164,268,Mistral AI,15-01-2024,20,2.18,4,Pro
165,426,Mistral AI,08-02-2024,22,2.83,3,Enterprise
166,196,Mistral AI,08-02-2024,46,3.08,3,Free
167,302,Gemini AI,20-01-2024,5,3.03,1,Pro
168,203,Claude AI,25-02-2024,41,2.02,4,Pro
169,250,ChatGPT,22-02-2024,16,1.52,5,Free
170,181,DeepSeek AI,31-01-2024,20,1.5,5,Enterprise
171,380,Mistral AI,01-03-2024,40,2.33,2,Free
172,173,Claude AI,20-01-2024,36,1.86,5,Pro
173,555,Gemini AI,08-02-2024,13,2.61,5,Pro
174,100,Mistral AI,13-01-2024,32,1.53,5,Pro
175,181,Claude AI,26-02-2024,24,2.35,2,Enterprise
176,278,ChatGPT,05-02-2024,19,3.31,2,Pro
177,383,DeepSeek AI,03-02-2024,15,3.02,4,Free
178,508,DeepSeek AI,01-01-2024,23,2.22,1,Pro
179,297,DeepSeek AI,13-02-2024,18,1.81,5,Free
180,462,Gemini AI,17-02-2024,36,1.57,4,Pro
181,379,Gemini AI,21-01-2024,6,2.81,4,Free
182,423,Claude AI,21-01-2024,10,2.46,4,Pro
183,226,ChatGPT,12-01-2024,14,2.52,1,Free
184,546,Gemini AI,23-02-2024,20,2.46,4,Free
185,170,Claude AI,26-02-2024,41,2.12,1,Pro
186,411,Gemini AI,24-02-2024,32,2.67,1,Free
187,117,DeepSeek AI,07-01-2024,8,2.4,3,Pro
188,348,Gemini AI,05-02-2024,34,2.16,4,Free
189,573,Gemini AI,13-02-2024,20,3.22,4,Enterprise
190,358,Gemini AI,01-01-2024,21,3.42,2,Free
191,325,ChatGPT,29-02-2024,44,3.32,1,Enterprise
192,579,Claude AI,16-01-2024,47,3.46,4,Enterprise
193,273,Mistral AI,24-01-2024,39,1.69,5,Enterprise
194,421,Gemini AI,06-01-2024,26,2.06,1,Free
195,415,DeepSeek AI,26-02-2024,26,2.46,5,Enterprise
196,487,Mistral AI,21-02-2024,44,2.41,3,Free
197,365,ChatGPT,06-02-2024,21,2.05,3,Enterprise
198,411,Mistral AI,06-02-2024,17,3.2,2,Pro
199,449,Mistral AI,16-01-2024,25,1.91,2,Enterprise
200,379,Gemini AI,29-02-2024,47,2.68,3,Free
201,260,ChatGPT,11-02-2024,16,1.96,2,Pro
202,564,Claude AI,04-02-2024,27,1.54,2,Enterprise
203,512,Gemini AI,24-01-2024,22,2.93,3,Pro
204,328,Mistral AI,12-01-2024,48,1.71,2,Enterprise
205,589,DeepSeek AI,13-02-2024,35,2.05,3,Enterprise
206,589,Gemini AI,19-02-2024,41,2.41,2,Enterprise
207,131,ChatGPT,25-02-2024,31,3.33,1,Free
208,129,DeepSeek AI,15-01-2024,7,1.84,5,Pro
209,116,Mistral AI,16-01-2024,45,1.67,4,Enterprise
210,448,DeepSeek AI,19-01-2024,16,3.47,1,Pro
211,104,Gemini AI,25-02-2024,38,2.22,4,Pro
212,543,ChatGPT,08-02-2024,49,2.84,2,Enterprise
213,549,Mistral AI,16-01-2024,19,2.81,1,Pro
214,369,Gemini AI,06-02-2024,25,3.29,3,Pro
215,387,Gemini AI,22-02-2024,47,1.97,1,Pro
216,103,ChatGPT,16-02-2024,14,3.34,4,Free
217,500,Mistral AI,09-01-2024,33,2.94,2,Free
218,380,DeepSeek AI,01-01-2024,16,3.47,5,Pro
219,571,DeepSeek AI,19-02-2024,15,3.36,3,Enterprise
220,535,ChatGPT,04-01-2024,14,2.04,5,Enterprise
221,317,DeepSeek AI,19-02-2024,10,3.26,2,Enterprise
222,380,Mistral AI,17-01-2024,22,2.26,1,Enterprise
223,250,Mistral AI,23-01-2024,10,2.68,4,Free
224,378,ChatGPT,03-01-2024,41,1.96,5,Free
225,252,DeepSeek AI,29-01-2024,39,1.88,1,Enterprise
226,488,ChatGPT,06-01-2024,43,1.99,1,Pro
227,292,Mistral AI,25-01-2024,31,3.44,3,Free
228,374,ChatGPT,05-02-2024,21,3.43,2,Pro
229,427,Mistral AI,23-01-2024,42,2.85,2,Enterprise
230,134,Mistral AI,15-02-2024,36,2.21,5,Enterprise
231,244,ChatGPT,18-02-2024,41,1.85,2,Enterprise
232,552,Gemini AI,14-01-2024,26,2.25,2,Free
233,179,DeepSeek AI,17-01-2024,22,2.17,2,Pro
234,556,ChatGPT,12-02-2024,22,1.63,5,Pro
235,160,Claude AI,04-02-2024,6,1.8,4,Pro
236,251,Claude AI,23-01-2024,36,2.09,3,Pro
237,581,Mistral AI,07-02-2024,15,1.96,4,Free
238,571,ChatGPT,25-01-2024,24,3.04,4,Pro
239,561,Mistral AI,01-01-2024,41,3.17,5,Enterprise
240,582,ChatGPT,15-02-2024,14,1.66,2,Enterprise
241,117,Claude AI,13-01-2024,27,3.25,2,Pro
242,357,Mistral AI,04-02-2024,16,1.56,1,Free
243,140,Claude AI,01-01-2024,15,2.92,2,Pro
244,569,DeepSeek AI,08-02-2024,50,2.59,5,Free
245,403,DeepSeek AI,22-02-2024,48,3.14,5,Enterprise
246,167,Mistral AI,19-01-2024,8,3.3,3,Pro
247,101,Gemini AI,28-02-2024,6,1.99,2,Pro
248,129,Gemini AI,12-01-2024,41,2.57,1,Enterprise
249,438,Claude AI,09-02-2024,40,1.72,1,Enterprise
250,298,ChatGPT,09-01-2024,41,3.48,3,Enterprise
251,126,DeepSeek AI,30-01-2024,31,2.37,4,Free
252,141,ChatGPT,25-02-2024,42,1.97,5,Enterprise
253,503,Claude AI,21-02-2024,48,3.3,4,Free
254,532,Gemini AI,01-01-2024,49,2.8,2,Free
255,381,Gemini AI,04-02-2024,18,3.32,1,Pro
256,354,Claude AI,20-02-2024,10,3.02,5,Free
257,229,Claude AI,28-01-2024,22,2.39,5,Free
258,398,Claude AI,22-02-2024,23,2.52,4,Enterprise
259,146,Mistral AI,14-02-2024,47,2.78,1,Free
260,463,Gemini AI,03-02-2024,10,1.64,2,Free
261,228,Claude AI,26-02-2024,8,3.05,2,Pro
262,261,ChatGPT,06-02-2024,26,3.25,2,Pro
263,228,Claude AI,04-01-2024,40,2.24,3,Free
264,187,Claude AI,21-02-2024,27,2.49,2,Free
265,464,Claude AI,04-01-2024,21,2.96,2,Enterprise
266,344,ChatGPT,18-02-2024,36,2.17,3,Pro
267,146,Mistral AI,05-02-2024,30,1.75,5,Enterprise
268,579,DeepSeek AI,26-01-2024,12,2.58,3,Enterprise
269,266,ChatGPT,21-01-2024,9,1.71,5,Enterprise
270,535,Gemini AI,25-02-2024,6,1.91,2,Pro
271,396,Gemini AI,16-02-2024,14,2.25,2,Enterprise
272,381,Mistral AI,19-02-2024,35,2.96,4,Pro
273,443,ChatGPT,07-02-2024,9,2.85,1,Pro
274,486,Gemini AI,01-03-2024,28,3.02,2,Enterprise
275,492,Claude AI,20-01-2024,45,1.52,1,Pro
276,185,Claude AI,23-02-2024,14,2.05,1,Enterprise
277,432,Gemini AI,09-02-2024,34,1.6,2,Enterprise
278,512,ChatGPT,08-01-2024,41,2.25,1,Enterprise
279,402,DeepSeek AI,06-02-2024,47,3.38,4,Free
280,111,Gemini AI,07-01-2024,34,3.35,1,Pro
281,174,Claude AI,12-02-2024,47,2.93,3,Enterprise
282,457,Claude AI,01-01-2024,16,2.3,4,Enterprise
283,284,Gemini AI,27-01-2024,7,2.88,1,Enterprise
284,531,DeepSeek AI,26-02-2024,47,1.85,4,Free
285,585,Claude AI,04-02-2024,13,2.32,2,Enterprise
286,114,ChatGPT,14-02-2024,49,1.87,1,Free
287,397,Gemini AI,16-01-2024,49,2.6,1,Free
288,572,Claude AI,12-01-2024,44,3.03,5,Enterprise
289,314,Mistral AI,10-02-2024,23,3.26,2,Enterprise
290,440,ChatGPT,23-01-2024,24,3.43,3,Enterprise
291,212,DeepSeek AI,03-01-2024,7,2.55,4,Pro
292,442,DeepSeek AI,20-02-2024,20,1.74,3,Free
293,402,Gemini AI,22-02-2024,43,2.65,4,Pro
294,229,Gemini AI,12-01-2024,46,2.52,1,Enterprise
295,239,DeepSeek AI,10-01-2024,26,2.1,4,Pro
296,176,ChatGPT,26-02-2024,7,2.52,2,Free
297,111,ChatGPT,28-02-2024,50,2.52,2,Enterprise
298,283,ChatGPT,29-02-2024,9,2.35,3,Pro
299,178,Gemini AI,26-02-2024,43,1.93,2,Free
300,172,DeepSeek AI,19-02-2024,23,1.69,3,Pro
301,417,DeepSeek AI,02-01-2024,18,1.67,4,Pro
302,242,DeepSeek AI,01-03-2024,20,1.64,1,Enterprise
303,531,ChatGPT,07-02-2024,21,3.27,4,Enterprise
304,166,DeepSeek AI,16-02-2024,49,2.59,2,Enterprise
305,481,Gemini AI,09-02-2024,48,3.01,5,Free
306,142,DeepSeek AI,03-01-2024,44,2.53,1,Enterprise
307,514,Gemini AI,24-02-2024,44,2.54,1,Free
308,307,DeepSeek AI,13-01-2024,12,1.84,5,Free
309,145,Claude AI,04-01-2024,15,3.35,5,Free
310,521,Gemini AI,11-02-2024,9,2.55,4,Pro
311,307,Claude AI,12-02-2024,24,1.64,4,Pro
312,512,ChatGPT,20-01-2024,32,1.65,1,Pro
313,187,ChatGPT,27-01-2024,13,2.59,1,Pro
314,395,Claude AI,15-02-2024,19,2.2,3,Free
315,366,Claude AI,21-02-2024,20,3.45,5,Free
316,117,ChatGPT,17-02-2024,7,1.68,1,Pro
317,179,Gemini AI,23-01-2024,30,1.82,3,Enterprise
318,188,DeepSeek AI,28-02-2024,13,1.52,2,Free
319,112,Claude AI,24-02-2024,40,3.31,5,Pro
320,123,ChatGPT,11-01-2024,43,3.27,3,Free
321,560,Gemini AI,25-01-2024,37,2.9,2,Pro
322,339,Claude AI,31-01-2024,50,3.06,2,Pro
323,584,Gemini AI,27-01-2024,36,3.31,1,Enterprise
324,217,ChatGPT,22-01-2024,25,1.56,3,Free
325,489,Mistral AI,27-01-2024,38,2.95,2,Enterprise
326,494,Gemini AI,25-02-2024,27,2.68,1,Pro
327,310,Mistral AI,02-02-2024,11,3.43,1,Pro
328,342,DeepSeek AI,25-01-2024,39,3.12,4,Free
329,160,ChatGPT,06-02-2024,19,2.01,2,Enterprise
330,471,Mistral AI,02-02-2024,15,2.6,3,Enterprise
331,356,Mistral AI,02-01-2024,28,3.11,3,Free
332,280,Claude AI,07-01-2024,9,2.47,5,Pro
333,208,DeepSeek AI,03-02-2024,38,3.37,5,Free
334,578,DeepSeek AI,31-01-2024,38,1.53,1,Free
335,346,ChatGPT,05-02-2024,29,3.08,2,Free
336,223,Claude AI,26-01-2024,27,2.17,4,Pro
337,133,DeepSeek AI,22-01-2024,21,3.12,4,Enterprise
338,234,DeepSeek AI,25-02-2024,41,1.89,3,Enterprise
339,177,Gemini AI,23-02-2024,28,2.33,5,Free
340,598,ChatGPT,19-01-2024,25,2.98,4,Free
341,121,ChatGPT,31-01-2024,19,1.72,5,Free
342,571,Claude AI,24-01-2024,40,2.28,1,Free
343,178,Mistral AI,19-01-2024,20,2.58,1,Enterprise
344,134,Gemini AI,18-01-2024,26,3.28,4,Pro
345,323,DeepSeek AI,01-02-2024,41,2.26,4,Free
346,600,ChatGPT,12-02-2024,48,2.42,2,Pro
347,559,Gemini AI,29-01-2024,41,2.01,4,Enterprise
348,333,Mistral AI,01-01-2024,22,2.48,5,Free
349,145,Claude AI,17-01-2024,21,3.25,4,Free
350,585,Claude AI,20-01-2024,20,2.73,3,Pro
351,449,Claude AI,26-02-2024,49,3.02,4,Enterprise
352,538,DeepSeek AI,26-02-2024,15,3.08,3,Free
353,246,Mistral AI,13-02-2024,21,3.17,1,Enterprise
354,454,Claude AI,02-01-2024,18,2.18,2,Enterprise
355,336,ChatGPT,04-02-2024,7,1.75,5,Free
356,469,DeepSeek AI,25-01-2024,17,3.01,1,Enterprise
357,175,Claude AI,04-01-2024,11,2.53,1,Free
358,315,DeepSeek AI,12-02-2024,35,2.36,3,Pro
359,518,Mistral AI,01-02-2024,21,1.57,4,Free
360,221,Claude AI,18-02-2024,7,1.59,5,Enterprise
361,333,Claude AI,20-01-2024,43,1.84,2,Free
362,505,Mistral AI,21-01-2024,28,2.47,3,Free
363,559,DeepSeek AI,29-02-2024,47,1.93,5,Enterprise
364,230,Mistral AI,22-02-2024,39,2.15,2,Pro
365,130,Mistral AI,29-02-2024,47,3.08,5,Pro
366,389,DeepSeek AI,21-02-2024,49,2.82,3,Enterprise
367,313,ChatGPT,17-01-2024,7,3.37,3,Enterprise
368,181,Gemini AI,02-02-2024,43,2.39,3,Free
369,436,Mistral AI,16-01-2024,12,2.62,4,Pro
370,524,Mistral AI,04-01-2024,45,3.3,1,Pro
371,503,DeepSeek AI,24-02-2024,45,1.95,2,Enterprise
372,114,Claude AI,21-02-2024,44,3.09,1,Enterprise
373,458,Mistral AI,28-02-2024,48,1.95,4,Enterprise
374,100,ChatGPT,14-02-2024,22,3.19,3,Free
375,471,Claude AI,18-02-2024,22,2.79,5,Pro
376,342,Mistral AI,01-01-2024,37,2.19,3,Pro
377,308,ChatGPT,14-01-2024,14,2.46,4,Enterprise
378,127,ChatGPT,11-02-2024,44,3.33,2,Free
379,440,Claude AI,16-01-2024,43,1.81,3,Enterprise
380,194,Claude AI,26-02-2024,33,1.74,5,Enterprise
381,571,ChatGPT,20-01-2024,12,3.14,3,Pro
382,270,Gemini AI,03-02-2024,17,2.84,3,Free
383,405,Gemini AI,31-01-2024,48,2.17,4,Free
384,534,Mistral AI,10-01-2024,49,3.28,1,Enterprise
385,564,Gemini AI,16-01-2024,22,1.89,1,Free
386,364,DeepSeek AI,14-01-2024,8,2.88,5,Free
387,508,ChatGPT,12-02-2024,21,2.29,3,Free
388,113,ChatGPT,22-01-2024,24,2.6,3,Enterprise
389,304,ChatGPT,27-02-2024,44,1.86,3,Free
390,313,DeepSeek AI,05-01-2024,26,3,1,Pro
391,136,Claude AI,11-02-2024,20,2.53,1,Free
392,411,DeepSeek AI,01-03-2024,7,3.45,4,Enterprise
393,188,Mistral AI,14-02-2024,36,2.32,1,Free
394,331,Gemini AI,13-01-2024,48,3.44,1,Free
395,256,DeepSeek AI,31-01-2024,24,1.86,3,Free
396,153,Mistral AI,01-03-2024,45,3.01,1,Free
397,584,Mistral AI,02-01-2024,45,1.6,1,Free
398,233,Gemini AI,24-01-2024,10,2.98,5,Enterprise
399,296,Gemini AI,03-02-2024,36,1.77,3,Pro
400,375,Gemini AI,14-01-2024,33,1.91,5,Enterprise
401,259,Mistral AI,22-02-2024,8,3.46,5,Enterprise
402,557,Gemini AI,28-01-2024,47,2.65,5,Enterprise
403,131,DeepSeek AI,13-02-2024,5,1.83,4,Enterprise
404,190,ChatGPT,08-02-2024,19,3.04,3,Pro
405,475,DeepSeek AI,17-01-2024,46,3.46,4,Enterprise
406,111,Gemini AI,03-01-2024,50,2.18,5,Free
407,275,Claude AI,21-01-2024,8,1.99,2,Enterprise
408,563,Gemini AI,29-01-2024,36,1.66,5,Enterprise
409,281,DeepSeek AI,14-02-2024,29,2.03,4,Enterprise
410,383,Mistral AI,28-02-2024,25,2.26,3,Free
411,567,DeepSeek AI,26-02-2024,33,3.23,1,Enterprise
412,280,ChatGPT,24-01-2024,28,3.46,2,Pro
413,428,ChatGPT,28-02-2024,42,3.02,3,Pro
414,215,Gemini AI,04-02-2024,28,3.04,3,Pro
415,341,Claude AI,16-01-2024,12,3.03,5,Enterprise
416,564,ChatGPT,03-01-2024,19,3.3,3,Pro
417,228,Gemini AI,08-01-2024,36,3,3,Enterprise
418,298,Gemini AI,19-01-2024,43,2.22,3,Free
419,158,Gemini AI,29-02-2024,41,3.15,1,Pro
420,172,DeepSeek AI,15-01-2024,44,3.11,2,Free
421,251,ChatGPT,15-02-2024,15,1.54,2,Enterprise
422,455,Claude AI,24-01-2024,16,2.37,5,Pro
423,403,Gemini AI,05-01-2024,41,3.32,1,Free
424,193,DeepSeek AI,19-02-2024,9,1.85,4,Pro
425,360,ChatGPT,16-02-2024,38,3.3,5,Enterprise
426,481,ChatGPT,05-02-2024,9,3.45,5,Enterprise
427,501,Gemini AI,14-02-2024,17,2.51,3,Enterprise
428,304,Gemini AI,04-02-2024,19,2.47,2,Free
429,362,ChatGPT,24-01-2024,13,3.12,1,Enterprise
430,422,Mistral AI,24-02-2024,21,2.27,1,Pro
431,207,ChatGPT,30-01-2024,28,2.09,5,Enterprise
432,528,Gemini AI,03-02-2024,17,2.46,5,Enterprise
433,490,Claude AI,24-01-2024,39,1.81,3,Free
434,538,ChatGPT,12-01-2024,44,2.55,2,Enterprise
435,518,Claude AI,01-03-2024,40,1.82,4,Free
436,438,Gemini AI,18-02-2024,28,2.86,2,Enterprise
437,217,DeepSeek AI,01-02-2024,40,1.82,2,Enterprise
438,156,ChatGPT,12-02-2024,20,3.06,2,Enterprise
439,141,DeepSeek AI,12-01-2024,9,2.94,4,Free
440,254,DeepSeek AI,21-01-2024,35,2.31,3,Pro
441,382,Claude AI,08-02-2024,32,2.89,5,Free
442,211,Mistral AI,28-02-2024,23,1.8,5,Enterprise
443,180,Claude AI,08-02-2024,36,2.24,4,Enterprise
444,234,Claude AI,08-01-2024,5,2.19,2,Pro
445,129,Claude AI,27-01-2024,18,2.23,4,Enterprise
446,254,Gemini AI,09-02-2024,40,3.44,3,Free
447,380,Claude AI,04-01-2024,37,1.55,2,Free
448,312,Mistral AI,28-01-2024,34,1.51,5,Enterprise
449,565,Claude AI,15-01-2024,32,2.1,3,Pro
450,562,Mistral AI,04-01-2024,10,3.17,2,Enterprise
451,358,Claude AI,25-01-2024,12,2.74,3,Free
452,261,Claude AI,19-01-2024,42,3.36,5,Free
453,213,Mistral AI,13-02-2024,29,3.04,4,Enterprise
454,429,Gemini AI,05-01-2024,41,1.8,5,Pro
455,435,DeepSeek AI,28-01-2024,44,3.1,1,Enterprise
